"1" "2" "3" "4" "5" "6" "7" "8" "9"
"401063" 3.90038551655615e-06 1.01786224808176e-05 8.37270968546597e-10 0.000204461446271174 0.00347656815877263 1.19756508417138e-08 3.11369067752373e-05 7.66150539107367e-10 5.4708963663091e-06
"401113" 0.00039878073873879 0.00116318765032154 5.75480414105601e-10 0.000427691384444097 0.00287636741809836 1.19789187769737e-05 3.54075247418229e-05 1.46309698663114e-05 7.08967472868465e-07
"401122" 0.00100000114635307 0.00265959919768535 0.00133675759939059 8.78282477601051e-08 0.000175409387334726 9.06622883395753e-10 8.58737835083245e-10 3.08314133868207e-05 0.000460958258791968
"401126" 0.00187965553399802 6.4710076606877e-10 0.0074687731559872 3.28671454483299e-05 3.96467793683959e-05 9.38670378194716e-10 0.000256280413796035 6.71863066702569e-10 8.62225794515028e-10
"401233" 0.00451172707321482 0.00110063631293023 0.000294331700722792 6.91414804540466e-10 2.10020159932206e-05 2.7912544561021e-06 1.25652520654792e-08 7.55955098549514e-10 1.6141712696778e-09
"401513" 0.000215600417065745 2.29417318859579e-09 3.66267397842796e-06 0.00272951298825475 0.00163456992061098 9.0572069556572e-10 1.11320415935851e-09 2.33657427463712e-09 0.000959004287080267
"401577" 2.05629165429825e-10 3.70415342255617e-10 3.65327827042558e-10 1.14915536555556e-09 0.00366891246117366 1.1041048530066e-05 7.83236358015933e-10 6.34241602365231e-10 6.62342570665308e-10
"401592" 0.00762899868722427 0.00030528458841365 2.41628027340563e-09 4.44361101593297e-10 3.36518763401322e-10 7.6586587077087e-06 2.51773474684406e-05 7.26837200477499e-10 8.70926176274551e-10
"401601" 0.00916628140081766 1.05347943571528e-09 2.19742188137393e-07 4.90463459764478e-06 2.60224946831134e-10 6.04236761269939e-10 6.34028005340353e-06 6.74773452988494e-10 1.66848252430019e-09
"401603" 0.00430561606033164 1.32491453937485e-09 8.52869409129075e-10 5.15449599356309e-06 2.36438846840082e-06 5.07915746366e-10 0.000282287202994584 6.57978925011261e-10 7.07395792803106e-10
"401658" 0.000571373132818485 0.000984878977401247 0.000135990661170764 0.000559801889000533 0.00350783100969505 4.69170612986649e-05 1.05140040054486e-09 6.77195258001286e-10 7.42793472497323e-10
"401682" 2.36032306568929e-10 0.000401085267168971 3.90543651467282e-10 0.00374580509800452 5.63684813133626e-05 0.00116683141858259 9.18313787923064e-10 0.0026651718045231 0.0126313639453687
"401693" 2.06006308802468e-10 3.70143096555801e-10 3.65664524785664e-10 0.0031389854715501 0.000231471306134171 5.78882385823324e-10 7.7772825420139e-10 6.39726293605454e-10 5.45603316994144e-05
