"1" "2" "3" "4" "5" "6"
"1076963" 3.87437316259997e-10 0.000825422693935497 0.000140863127935511 4.6321668047775e-05 0.000409965860076685 1.0649504700968e-09
"919484" 2.46679942864336e-10 3.88974179018819e-10 0.000275308229737997 6.87405092759028e-10 1.22444648754194e-09 7.95251596269847e-10
"364179" 4.47413212478593e-10 3.87501011018164e-10 1.82274929256932e-09 1.167879509121e-09 9.03317106441125e-05 0.000237779217113218
"1053321" 6.1542964299313e-05 9.04754263662735e-07 0.000152723672778091 0.00071720754613329 1.35387877733799e-09 1.58165585630991e-09
"711590" 2.69607338387794e-10 3.62032620517193e-10 7.92324940137194e-10 7.42206528937657e-10 8.40684130667185e-10 6.86881102296951e-05
"4370328" 3.07139618881791e-10 5.68977849007725e-10 1.45952318692644e-09 5.02762826347376e-05 8.40562538185377e-10 6.77665540135796e-09
"4480529" 2.50731812720344e-10 3.59710512923273e-10 7.02736068947635e-10 5.79822603690672e-10 0.000324862140641596 4.72780024080001e-09
"188966" 2.1581103687441e-10 3.57831715323317e-10 6.08090784245065e-10 1.78990969999052e-09 8.40130152817814e-10 6.8687171521675e-05
"347575" 5.9933683322149e-10 9.72573098934642e-10 0.00211340689930895 3.33717824405961e-09 0.000565021970551736 0.00127155505745312
"981912" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"3439402" 2.42877480530583e-10 4.9062573476621e-10 7.53953439106225e-10 6.6143623001544e-10 8.42142397136727e-10 0.000503713867104412
"4442504" 4.87961057492634e-10 6.51616960169169e-10 0.000859362311918351 0.000125298436798565 0.000304165676430749 1.03042608566431e-06
"258946" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4422405" 1.34392296406835e-09 7.60366127849244e-10 0.00031315448009135 0.000180439243646874 4.05408312513583e-05 8.92697541479176e-10
"324882" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"272758" 3.04196244989483e-10 3.58828914766225e-10 5.91175604533323e-05 6.99965721362796e-10 8.87065651010435e-10 8.9755658889634e-05
"324888" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"186610" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"158804" 3.00825287130485e-10 4.66834982353827e-10 0.000341695567937978 3.0744028772272e-09 0.000685173889332641 1.37625750608056e-09
"495095" 3.63712203881874e-10 0.00107788487990767 8.42020231672313e-10 7.52815670108164e-10 9.88324472123217e-10 1.13375556479736e-09
"548686" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4413214" 5.0531088293641e-10 6.36865802186778e-10 0.000703214839062156 0.000161635803506998 8.56915784567105e-10 4.17827207561451e-05
"1090059" 3.7915924677861e-10 2.0753252427642e-09 4.28153496484952e-09 0.000687177788937527 9.15885344879319e-10 8.92310457752157e-10
"179853" 2.26596865281571e-10 6.19782200067112e-10 3.4472574554458e-08 5.64857162634273e-10 8.40298058057209e-10 9.15308209954604e-05
"4318102" 2.56637328119577e-10 0.000126809570222564 5.38099285177647e-10 7.83058478480531e-10 2.17701101604385e-09 8.10832690315774e-10
"183089" 3.11004856721745e-10 7.17948860116429e-10 0.000148017398427342 4.30526869281624e-05 0.000574776215405634 2.7834352315571e-05
"318949" 3.778702468845e-10 7.78963976811354e-10 5.89611894047151e-05 0.000148464190797685 0.000184546717227791 0.000313404364513554
"271811" 2.28560417502001e-10 3.62115168918776e-10 2.89791625070233e-05 1.34704440612068e-09 8.66423786422857e-10 1.40431257290558e-09
"4345640" 2.44814895810493e-10 8.0337553589003e-10 7.86818088073342e-10 0.00026816834857756 1.00564404398084e-09 1.71099945562042e-09
"182911" 3.72195665475529e-10 2.38728177641488e-05 7.90109955104836e-05 1.88825300111774e-09 1.24486892331285e-09 0.00117429652943723
"517754" 2.51233230730937e-10 4.33823609857052e-10 2.23390313574395e-08 8.37777878143315e-05 8.93160651115161e-10 1.15305765285264e-09
